ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
241611642,1,4501,1108,6,12.0726580284372,55.6211035490962,2016-07-01 19:05:00,33,20789,7011905,7011904,7011905,7011900,7011900,7011800,282,690,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611649,1,4502,1108,7,12.0727070016022,55.6211203017028,2016-07-01 19:06:00,38,20789,7011906,7011906,7011905,7011900,7011900,7011800,282,690,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611655,1,4503,1108,8,12.0727559748086,55.6211370542893,2016-07-01 19:07:00,43,20789,7011907,7011906,7011905,7011900,7011900,7011800,282,690,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611665,1,4504,1108,9,12.0728049480563,55.6211538068557,2016-07-01 19:08:00,48,20789,7011908,7011908,7011905,7011900,7011900,7011800,283,691,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611669,1,4505,1108,10,12.0728373627402,55.6211619843643,2016-07-01 19:09:00,53,20789,7011909,7011908,7011905,7011900,7011900,7011800,283,691,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611676,1,4506,1108,11,12.072886336053,55.6211787368973,2016-07-01 19:10:00,58,20789,7011910,7011910,7011910,7011900,7011900,7011800,283,691,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611681,0,4507,1108,12,12.0729574306582,55.6212088649695,2016-07-01 19:11:21,65,20789,7011911,7011910,7011910,7011900,7011900,7011800,284,692,40,,41,0,727,0,0,0.056396148555,0,0,1,0,0
241611692,1,4508,1109,1,12.0728711824783,55.6211881070105,2016-07-01 19:12:00,51,20789,7011912,7011912,7011910,7011900,7011900,7011800,283,691,40,,25,0,174,0,0,0.143678160919,0,0,1,0,0
241611696,1,4509,1109,2,12.0727415237081,55.6211553969609,2016-07-01 19:13:00,30,20789,7011913,7011912,7011910,7011900,7011900,7011800,282,691,40,,25,0,174,0,0,0.143678160919,0,0,1,0,0
241611699,0,4510,1109,3,12.0725827595641,55.6211289016085,2016-07-01 19:14:15,5,20789,7011914,7011914,7011910,7011900,7011900,7011800,282,691,40,,25,0,174,0,0,0.143678160919,0,0,1,0,0
241611712,1,4511,1110,1,12.0725794505437,55.6211145092023,2016-07-01 19:15:00,9,20789,7011915,7011914,7011915,7011915,7011900,7011800,281,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611718,1,4512,1110,2,12.0725946041615,55.6211051391246,2016-07-01 19:16:00,15,20789,7011916,7011916,7011915,7011915,7011900,7011800,281,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611728,1,4513,1110,3,12.0726097577721,55.621095769045,2016-07-01 19:17:00,22,20789,7011917,7011916,7011915,7011915,7011900,7011800,281,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611733,1,4514,1110,4,12.0726090553136,55.6210867964695,2016-07-01 19:18:00,28,20789,7011918,7011918,7011915,7011915,7011900,7011800,281,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611738,1,4515,1110,5,12.0726242089138,55.6210774263883,2016-07-01 19:19:00,34,20789,7011919,7011918,7011915,7011915,7011900,7011800,282,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611745,1,4516,1110,6,12.0726393625067,55.6210680563053,2016-07-01 19:20:00,40,20789,7011920,7011920,7011920,7011915,7011900,7011800,282,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611751,1,4517,1110,7,12.0726386600421,55.62105908373,2016-07-01 19:21:00,47,20789,7011921,7011920,7011920,7011915,7011900,7011800,282,689,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611758,1,4518,1110,8,12.0726538136247,55.6210497136453,2016-07-01 19:22:00,53,20789,7011922,7011922,7011920,7011915,7011900,7011800,282,689,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611760,0,4519,1110,9,12.0726836776843,55.6210407239819,2016-07-01 19:23:51,65,20789,7011923,7011922,7011920,7011915,7011900,7011800,282,690,40,,11,0,576,0,0,0.019097222222,0,1,0,0,0
241611772,1,4520,1111,1,12.0726689671999,55.6210403435588,2016-07-01 19:24:00,63,20789,7011924,7011924,7011920,7011915,7011900,7011800,282,689,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611778,1,4521,1111,2,12.0726689671999,55.6210403435588,2016-07-01 19:25:00,52,20789,7011925,7011924,7011925,7011915,7011900,7011800,282,689,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611784,1,4522,1111,3,12.0726531111573,55.6210407410701,2016-07-01 19:26:00,41,20789,7011926,7011926,7011925,7011915,7011900,7011800,282,689,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611796,1,4523,1111,4,12.0726372551142,55.6210411385793,2016-07-01 19:27:00,30,20789,7011927,7011926,7011925,7011915,7011900,7011800,282,689,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611803,1,4524,1111,5,12.0726213990708,55.6210415360865,2016-07-01 19:28:00,19,20789,7011928,7011928,7011925,7011915,7011900,7011800,282,689,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611806,0,4525,1111,6,12.0726162871788,55.6210442443814,2016-07-01 19:29:18,5,20789,7011929,7011928,7011925,7011915,7011900,7011800,282,690,40,,4,0,327,0,0,0.012232415902,0,1,0,0,0
241611819,1,4526,1112,1,12.0727041916791,55.621084411404,2016-07-01 19:30:00,21,20789,7011930,7011930,7011930,7011930,7011900,7011800,282,690,40,,28,0,156,0,0,0.179487179487,0,0,1,0,0
241611822,0,4527,1112,2,12.072954748449,55.6212090326076,2016-07-01 19:31:54,65,20789,7011931,7011930,7011930,7011930,7011900,7011800,284,692,40,,28,0,156,0,0,0.179487179487,0,0,1,0,0
241611832,1,4528,1113,1,12.072936011943,55.6212044619829,2016-07-01 19:32:00,64,20789,7011932,7011932,7011930,7011930,7011900,7011800,283,691,40,,40,0,744,0,0,0.05376344086,0,0,1,0,0
241611839,1,4529,1113,2,12.0728877411019,55.6211966820434,2016-07-01 19:33:00,60,20789,7011933,7011932,7011930,7011930,7011900,7011800,283,691,40,,40,0,744,0,0,0.05376344086,0,0,1,0,0
236498098,1,3304,557,15,12.0746354530027,55.6175477834796,2016-06-30 17:01:00,6,34900,6301701,6301700,6301700,6301700,6301700,6301600,296,651,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
236498125,1,3305,557,16,12.0746562274382,55.617610193673,2016-06-30 17:02:00,6,34900,6301702,6301702,6301700,6301700,6301700,6301600,296,652,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
236498161,1,3306,557,17,12.0746762991025,55.6176636312983,2016-06-30 17:03:00,6,34900,6301703,6301702,6301700,6301700,6301700,6301600,296,652,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
236498193,1,3307,557,18,12.0747129283452,55.6177256437222,2016-06-30 17:04:00,6,34900,6301704,6301704,6301700,6301700,6301700,6301600,296,653,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
