user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
51,20100,688001,9,566324,103,54991,19222,66522,766,164,0.823144152,0.079928663,0.096688813,0.000238372,1
52,29537,429935,1,54057,25,18264,23971,356465,5540,1149,0.12573296,0.04248084,0.829113703,0.002672497,3
53,55290,489362,10,104985,58,32160,36779,349651,18443,2566,0.214534435,0.065718221,0.714503782,0.005243562,3
54,19031,335080,6,108211,79,40437,18946,186431,0,1,0.32294079,0.120678644,0.556377581,2.98436E-06,3
55,31049,293548,4,38697,83,31256,22259,222699,8703,896,0.131825119,0.106476624,0.758645945,0.003052312,3
56,26321,320619,2,131438,63,69753,26256,119428,0,0,0.409950752,0.217557288,0.372491961,0,1
57,30320,416606,3,70285,0,35939,26009,309774,4308,608,0.168708564,0.08626616,0.743565863,0.001459412,3
58,31191,584509,69,96621,287,57029,30257,430760,578,99,0.165302844,0.09756736,0.736960423,0.000169373,3
59,56459,632623,27,213082,328,68414,51129,350288,4975,839,0.336823037,0.108143397,0.553707342,0.001326224,3
60,67348,596872,122,245578,514,106006,44929,242633,21783,2655,0.411441649,0.177602568,0.406507593,0.00444819,1
61,100402,682097,55,168754,468,57066,64836,450108,35043,6169,0.247404695,0.083662588,0.65988855,0.009044168,3
62,39571,656216,75,249898,300,127550,32842,277731,6354,1037,0.380816682,0.194371975,0.42323107,0.001580272,3
63,9992,110167,5,42754,0,11371,8768,55713,1219,329,0.388083546,0.103216027,0.505714052,0.002986375,3
64,5595,58964,0,10797,18,9212,5577,38955,0,0,0.183111729,0.156230921,0.66065735,0,3
65,96140,678730,27,289870,403,81810,48054,301616,47656,5434,0.427077041,0.120533938,0.444382892,0.008006129,3
66,18524,701343,0,193220,0,160177,18524,347944,0,2,0.275500005,0.228386111,0.496111033,2.85167E-06,3
67,33063,563629,12,275149,155,67770,32430,220560,466,150,0.488173958,0.120238668,0.391321241,0.000266133,1
68,41548,349836,56,53931,325,18110,21145,274743,20022,3052,0.154160807,0.051767114,0.785347992,0.008724088,3
69,9853,287699,0,65927,78,8779,9775,212993,0,0,0.229152691,0.030514531,0.740332778,0,3
70,0,1849,0,1690,0,159,0,0,0,0,0.914007572,0.085992428,0,0,1
71,29054,575836,12,215532,293,57341,24943,302543,3806,420,0.37429407,0.099578699,0.525397856,0.000729374,3
72,28060,701426,8,292288,134,69751,27706,339352,212,35,0.416705397,0.099441709,0.483802996,4.98983E-05,3
73,61245,722280,146,263354,926,112004,52425,345399,7748,1523,0.364614831,0.155070056,0.478206513,0.002108601,3
74,32332,100666,10,15564,18,8508,11746,73329,20558,3265,0.154610295,0.084517116,0.728438599,0.03243399,3
75,0,51,0,51,0,0,0,0,0,0,1,0,0,0,1
76,6496,35883,4,13760,62,8123,4380,13895,2050,105,0.383468495,0.226374606,0.387230722,0.002926177,3
77,5330,50366,0,10604,15,7745,5315,32017,0,0,0.210538856,0.153774372,0.635686773,0,3
